ids,clsids,expect_college,expect_edu_raw,linking_idx,teacher_praise,teacher_talk,bonding_idx,ses_self,hukou_type,cog_score
1,1,1.0,9.0,2.5952882648918196,3.3333333333333335,1.0,0.7871015438149604,1977.0,0.0,26
2,1,1.0,9.0,-0.013202298435630477,3.0,0.0,0.28736896291174746,1657.48,0.0,26
3,1,1.0,7.0,1.7891280627809465,2.6666666666666665,1.0,1.286834124718174,0.0,1.0,29
4,1,1.0,7.0,2.192208163836383,3.0,1.0,-0.7120961988946796,1978.0,0.0,17
5,1,1.0,8.0,0.9829678606700738,2.0,1.0,0.7871015438149604,1657.48,1.0,30
6,1,1.0,8.0,0.9829678606700738,2.0,1.0,-0.21236361799146622,1969.0,0.0,18
7,1,1.0,7.0,-0.013202298435630477,3.0,0.0,0.28736896291174746,1978.0,1.0,27
8,1,1.0,8.0,1.1960380047306787,4.0,0.0,1.286834124718174,1970.0,0.0,33
9,1,1.0,7.0,-1.2224426016019396,2.0,0.0,0.28736896291174746,1975.0,1.0,28
10,1,1.0,7.0,1.1960380047306787,4.0,0.0,1.7865667056213879,1974.0,1.0,19
11,1,1.0,7.0,-0.22627244249623524,1.0,1.0,-0.21236361799146622,1964.0,1.0,10
13,1,1.0,7.0,3.401448467002692,4.0,1.0,1.7865667056213879,1970.0,1.0,17
14,1,1.0,8.0,0.389877802619806,3.3333333333333335,0.0,0.28736896291174746,1972.0,1.0,30
16,1,1.0,7.0,-0.013202298435630477,3.0,0.0,1.286834124718174,0.0,1.0,22
17,1,1.0,7.0,1.7891280627809465,2.6666666666666665,1.0,1.286834124718174,1974.0,1.0,27
18,1,1.0,7.0,0.389877802619806,3.3333333333333335,0.0,0.7871015438149604,1973.0,1.0,20
19,1,1.0,7.0,3.401448467002692,4.0,1.0,2.7860318674278144,1972.0,1.0,24
21,1,1.0,7.0,0.9829678606700738,2.0,1.0,-0.21236361799146622,1971.0,0.0,22
23,1,1.0,10.0,0.5798877596146376,1.6666666666666667,1.0,0.28736896291174746,2000.0,1.0,23
25,1,1.0,8.0,1.7891280627809465,2.6666666666666665,1.0,0.28736896291174746,1.0,1.0,30
27,1,1.0,7.0,-0.013202298435630477,3.0,0.0,1.286834124718174,1963.0,0.0,21
28,1,1.0,7.0,2.5952882648918196,3.3333333333333335,1.0,2.7860318674278144,1969.0,0.0,31
29,1,1.0,8.0,-0.013202298435630477,3.0,0.0,0.7871015438149604,0.0,1.0,25
30,1,1.0,7.0,3.401448467002692,4.0,1.0,1.286834124718174,1657.48,1.0,21
31,1,1.0,7.0,-0.41628239949106705,2.6666666666666665,0.0,0.7871015438149604,1972.0,0.0,29
32,1,1.0,9.0,1.3860479617255104,2.3333333333333335,1.0,0.7871015438149604,1977.0,1.0,31
33,2,1.0,9.0,1.1960380047306787,4.0,0.0,1.286834124718174,1972.0,1.0,21
34,2,0.0,6.0,-1.2224426016019396,2.0,0.0,-0.21236361799146622,1968.0,0.0,33
35,2,1.0,7.0,-0.013202298435630477,3.0,0.0,0.7871015438149604,0.0,0.0,27
