ids,clsids,expect_college,expect_edu_raw,linking_idx,teacher_praise,teacher_talk,bonding_idx,hukou_type,cog_score,ses_self,ses_pca,ses_pca_group,parent_edu_max,family_econ,home_books,has_desk,has_computer
18360,419,1.0,9.0,1.3860479617255104,2.333333333333333,1.0,-0.7120961988946796,1.0,31,1970.0,1.0445074125737315,1,8.0,3.0,5.0,1.0,1.0
18361,419,0.0,3.0,-0.0491471642779142,2.333333333333333,,0.2873689629117474,1.0,13,1.0,-2.0845109721986472,0,3.0,1.0,2.0,1.0,0.4
18362,419,0.0,6.0,2.192208163836383,3.0,1.0,1.286834124718174,1.0,18,1.0,-0.2784829856648664,0,3.0,3.0,3.0,1.0,0.4
18363,419,1.0,7.0,-1.2224426016019396,2.0,0.0,-0.7120961988946796,0.0,22,0.0,0.6024233661811915,1,3.0,3.0,5.0,1.0,0.4
18364,419,1.0,8.0,-0.416282399491067,2.6666666666666665,0.0,-0.2123636179914662,0.0,26,0.0,-0.08906915868512216,0,3.8333333333333335,3.0,3.0,1.0,0.4
18365,419,1.0,9.0,-1.2224426016019396,2.0,0.0,-0.7120961988946796,0.0,26,0.0,-1.3792441324923501,0,3.0,2.0,1.0,1.0,0.0
18366,419,0.0,4.0,-1.827062753185094,1.5,0.0,0.2873689629117474,0.0,17,1.0,-1.4133350770738207,0,3.0,3.0,2.0,1.0,1.0
18367,419,0.0,6.0,2.192208163836383,3.0,1.0,0.2873689629117474,1.0,20,1976.0,0.17611019908651973,0,5.0,3.0,3.0,1.0,0.4
18369,419,1.0,8.0,-0.8193625005465031,2.333333333333333,0.0,-0.7120961988946796,1.0,28,1.0,-1.6290201592689644,0,2.0,2.0,2.0,1.0,0.4
18370,419,1.0,7.0,-1.625522702657376,1.6666666666666667,0.0,0.2873689629117474,0.0,30,0.0,-0.057884604723263205,0,3.0,2.0,4.0,1.0,0.0
18371,419,1.0,8.0,-1.2224426016019396,2.0,0.0,-1.2118287797978933,1.0,22,0.0,0.3767576442750097,1,7.0,3.0,4.0,1.0,1.0
18372,419,1.0,10.0,-0.416282399491067,2.6666666666666665,0.0,-0.7120961988946796,1.0,28,1.0,-0.9621680191485391,0,6.0,1.0,3.0,1.0,0.4
18373,419,1.0,9.0,0.9829678606700738,2.0,1.0,-0.7120961988946796,1.0,28,0.0,-0.2784829856648664,0,3.0,3.0,3.0,1.0,0.4
18374,420,0.0,6.0,-2.4316829047682487,1.0,0.0,-1.2118287797978933,1.0,23,0.0,-2.887850222740297,0,3.0,2.0,2.0,0.0,0.6666666666666666
18375,420,0.0,6.0,-0.416282399491067,2.6666666666666665,0.0,-0.2123636179914662,0.0,19,1.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18376,420,0.0,6.0,-0.416282399491067,2.6666666666666665,0.0,-0.7120961988946796,1.0,22,0.0,-1.7103453071092378,0,3.0,2.0,2.0,1.0,0.6666666666666666
18377,420,1.0,8.0,-1.2224426016019396,2.0,0.0,-0.7120961988946796,0.0,13,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18378,420,0.0,6.0,-0.0132022984356304,3.0,0.0,2.286299286524601,0.0,21,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18379,420,0.0,5.0,0.9829678606700738,2.0,1.0,-0.2123636179914662,1.0,14,0.0,-1.269892131186209,0,3.0,2.0,3.0,1.0,0.6666666666666666
18380,420,0.0,5.0,1.196038004730679,4.0,0.0,2.7860318674278144,0.0,20,1978.0,0.5493782359976321,1,8.0,3.0,3.0,1.0,0.6666666666666666
18381,420,0.0,6.0,-1.2224426016019396,2.0,0.0,0.2873689629117474,0.0,22,1.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18382,420,0.0,5.0,-0.0132022984356304,3.0,0.0,1.286834124718174,0.0,18,0.0,-0.1466515499578042,0,3.0,3.0,4.0,1.0,0.6666666666666666
18383,420,1.0,7.0,-1.2224426016019396,2.0,0.0,-0.2123636179914662,1.0,27,0.0,-2.620429304790307,0,2.0,1.0,2.0,1.0,0.6666666666666666
18384,420,1.0,9.0,1.3860479617255104,2.333333333333333,1.0,0.2873689629117474,0.0,31,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18385,420,0.0,5.0,1.196038004730679,4.0,0.0,2.7860318674278144,0.0,7,111.94339622641508,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18386,420,1.0,10.0,-0.0132022984356304,3.0,0.0,2.286299286524601,1.0,12,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18387,420,0.0,3.0,-2.4316829047682487,1.0,0.0,-1.7115613607011066,1.0,10,1.0,0.29380162596522486,1,3.0,3.0,5.0,1.0,0.6666666666666666
18388,420,1.0,9.0,-0.0132022984356304,3.0,0.0,0.2873689629117474,0.0,19,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18389,420,0.0,5.0,-2.4316829047682487,1.0,0.0,-1.7115613607011066,0.0,25,0.0,-1.4971887235619024,0,2.0,2.0,3.0,1.0,0.6666666666666666
18390,420,0.0,5.0,-2.4316829047682487,1.0,0.0,-1.7115613607011066,1.0,21,0.0,-1.6953076701025842,0,2.0,3.0,1.0,1.0,0.6666666666666666
18391,420,1.0,8.0,-1.625522702657376,1.6666666666666667,0.0,-0.7120961988946796,1.0,29,1.0,-2.4323594098106143,0,2.0,3.0,2.0,0.0,0.6666666666666666
18392,420,0.0,6.0,1.7891280627809465,2.6666666666666665,1.0,0.2873689629117474,0.0,24,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18393,420,0.0,6.0,2.192208163836383,3.0,1.0,1.286834124718174,0.0,15,1978.0,-2.64551599335795,0,3.0,3.0,1.0,0.0,0.6666666666666666
18394,420,1.0,8.0,1.196038004730679,4.0,0.0,2.7860318674278144,0.0,9,111.94339622641508,-0.35980813350514007,0,4.0,3.0,3.0,1.0,0.6666666666666666
18395,420,1.0,7.0,-1.625522702657376,1.6666666666666667,0.0,-1.7115613607011066,0.0,27,0.0,-3.130184452122644,0,3.0,1.0,3.0,0.0,0.6666666666666666
18396,420,1.0,7.0,-1.2224426016019396,2.0,0.0,-0.2123636179914662,0.0,30,0.0,-2.393132712414614,0,3.0,1.0,2.0,1.0,0.6666666666666666
18397,420,0.0,6.0,-1.2224426016019396,2.0,0.0,-0.7120961988946796,0.0,10,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18398,420,0.0,2.0,0.1768076585592011,1.3333333333333333,1.0,-1.2118287797978933,1.0,23,111.94339622641508,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
